now_time,predict_time,id,lon,lat,10UV,MSL,ob,10UV_-1,10UV_-2,ob_-1,ob_-2,ob_-3,ob_-4,ob_-5,ob_-6,ob_-7,ob_-8,ob_-9,ob_-10,ob_-11,ob_-12,ob_-13,ob_-14,ob_-15
2016-07-04 08:00:00,2016-07-06 20:00:00,59129,117.6,24.133000000000006,2.190024318654551,2.9911247930738227,2.6,1.1415664584494862,0.9325519438411404,1.9,2.5,3.8,2.2,3.1,3.7,4.9,2.7,3.4,2.6,2.4,2.4,3.4,4.2,2.3
2016-07-05 08:00:00,2016-07-07 20:00:00,59129,117.6,24.133000000000006,1.3849271640654752,3.8604561782268547,3.4,2.3533885969656234,1.0400299915429618,3.5,1.9,2.5,3.8,2.2,3.1,3.7,4.9,2.7,3.4,2.6,2.4,2.4,3.4,4.2
2016-07-06 08:00:00,2016-07-08 20:00:00,59129,117.6,24.133000000000006,3.4041235386790003,3.964567792373373,5.5,1.5496694114550913,2.352366139706642,2.4,3.5,1.9,2.5,3.8,2.2,3.1,3.7,4.9,2.7,3.4,2.6,2.4,2.4,3.4
2016-07-07 08:00:00,2016-07-09 20:00:00,59129,117.6,24.133000000000006,3.92998739593604,1.6162838681168523,3.2,4.5779378944329645,2.354187091840576,2.6,2.4,3.5,1.9,2.5,3.8,2.2,3.1,3.7,4.9,2.7,3.4,2.6,2.4,2.4
2016-07-08 08:00:00,2016-07-10 20:00:00,59129,117.6,24.133000000000006,2.8096069190820154,0.9130282128314776,4.8,4.435205792461226,5.2195585772187565,3.4,2.6,2.4,3.5,1.9,2.5,3.8,2.2,3.1,3.7,4.9,2.7,3.4,2.6,2.4
2016-07-09 08:00:00,2016-07-11 20:00:00,59129,117.6,24.133000000000006,1.8988119445914005,1.079965689961227,2.5,3.453747032347266,3.1253512651114463,5.5,3.4,2.6,2.4,3.5,1.9,2.5,3.8,2.2,3.1,3.7,4.9,2.7,3.4,2.6
2016-07-10 08:00:00,2016-07-12 20:00:00,59129,117.6,24.133000000000006,1.7292332496444769,1.158950403390918,2.0,2.517231979525819,3.4207524054583214,3.2,5.5,3.4,2.6,2.4,3.5,1.9,2.5,3.8,2.2,3.1,3.7,4.9,2.7,3.4
2016-07-11 08:00:00,2016-07-13 20:00:00,59129,117.6,24.133000000000006,2.0835481471940267,1.0739673057440768,3.5,2.343226618544586,2.910783201662795,4.8,3.2,5.5,3.4,2.6,2.4,3.5,1.9,2.5,3.8,2.2,3.1,3.7,4.9,2.7
2016-07-12 08:00:00,2016-07-14 20:00:00,59129,117.6,24.133000000000006,2.682195110616183,1.282706775040765,1.9,1.873652145441158,2.6422200642514007,2.5,4.8,3.2,5.5,3.4,2.6,2.4,3.5,1.9,2.5,3.8,2.2,3.1,3.7,4.9
2016-07-13 08:00:00,2016-07-15 20:00:00,59129,117.6,24.133000000000006,2.7779061399804834,1.3951940317411982,3.9,2.163049808727232,2.9265310909006343,2.0,2.5,4.8,3.2,5.5,3.4,2.6,2.4,3.5,1.9,2.5,3.8,2.2,3.1,3.7
2016-07-14 08:00:00,2016-07-16 20:00:00,59129,117.6,24.133000000000006,2.0756722367268443,1.8271060222720048,2.0,2.975634137412744,2.7783639451184903,3.5,2.0,2.5,4.8,3.2,5.5,3.4,2.6,2.4,3.5,1.9,2.5,3.8,2.2,3.1
